date,threshold,forecasted_max,actual_max,market_prob,model_prob,edge,bet_size,bet_won,profit,bankroll
2025-06-25,≥100,98.2,100.8,0.1,0.1750579866794959,0.0750579866794959,29.865638439234825,True,268.7907459531134,1701.2338894169698
2025-06-26,≥83,85.2,86.2,0.645,0.7303250753786108,0.0853250753786107,85.0616944708485,True,46.81690160798637,1748.0507910249562
2025-06-27,≥75,74.1,72.1,0.135,0.278928287943614,0.143928287943614,72.71501664471158,False,-72.71501664471158,1675.3357743802446
2025-06-28,≥85,85.1,85.2,0.3,0.4211360729330783,0.1211360729330783,72.47985591168592,True,169.11966379393382,1844.4554381741784
2025-06-29,≥90,92.0,90.7,0.53,0.7041549269578972,0.1741549269578971,92.22277190870892,True,81.78245810772299,1926.2378962819012
2025-06-30,≥93,91.4,93.8,0.065,0.1957345115014072,0.1307345115014072,67.33309369142049,True,968.5606554073562,2894.7985516892577
2025-07-01,≥89,93.1,90.9,0.49,0.9113592692010302,0.4213592692010302,144.7399275844629,True,150.6476797307675,3045.446231420025
2025-07-02,≤81,82.5,85.2,0.055,0.3658487702657234,0.3108487702657234,152.27231157100127,False,-152.27231157100127,2893.173919849024
2025-07-08,≥92,95.4,97.1,0.645,0.8595377119129106,0.2145377119129106,144.6586959924512,True,79.6183520578607,2972.7922719068843
2025-07-09,≥92,91.7,88.3,0.185,0.3617428644917804,0.1767428644917804,148.63961359534423,False,-148.63961359534423,2824.15265831154
2025-07-28,≥97,95.5,95.5,0.085,0.2066065674205716,0.1216065674205715,93.83483897512264,False,-93.83483897512264,2730.3178193364174
2025-07-29,≥100,100.8,102.7,0.32,0.5286752348394026,0.2086752348394026,136.51589096682088,True,290.09626830449434,3020.414087640912
2025-08-06,77-78,77.4,84.0,0.055,0.1477676276072104,0.0927676276072104,74.12609769890061,False,-74.12609769890061,2946.287989942012
2025-08-08,83-84,83.2,83.4,0.0665,0.1442506730030377,0.0777506730030377,61.34865401145117,True,861.1874965366867,3807.475486478698
2025-08-10,89-90,91.2,93.2,0.065,0.1406317218147565,0.0756317218147565,76.99623711493626,False,-76.99623711493626,3730.479249363762
2025-08-13,≥92,90.0,89.3,0.0805,0.1558234436068116,0.0753234436068116,76.3981901484047,False,-76.3981901484047,3654.081059215357
2025-08-21,≤69,71.6,71.1,0.057,0.2210616848876272,0.1640616848876273,158.9328460474118,False,-158.9328460474118,3495.1482131679454
2025-08-25,87-88,88.0,90.4,0.09,0.1533005642372298,0.0633005642372298,60.78155329293312,False,-60.78155329293312,3434.3666598750124
2025-09-16,≤73,73.6,74.8,0.136,0.5021813580299009,0.3661813580299009,171.71833299375064,False,-171.71833299375064,3262.6483268812617
2025-09-18,≥83,84.4,80.5,0.0565,0.6194986316539903,0.5629986316539903,163.1324163440631,False,-163.1324163440631,3099.5159105371986
2025-09-26,83-84,83.9,79.4,0.065,0.1529287878814985,0.0879287878814985,72.87076926014842,False,-72.87076926014842,3026.6451412770502
2025-09-28,≥82,84.4,82.2,0.455,0.7552814760041187,0.3002814760041186,151.33225706385252,True,181.2661101094497,3207.9112513865
2025-10-02,≤62,65.7,66.3,0.065,0.1161692250052123,0.0511692250052123,43.88939374838182,False,-43.88939374838182,3164.021857638118
2025-10-10,≤59,62.3,61.9,0.055,0.1492766784996264,0.0942766784996264,78.91361678262952,False,-78.91361678262952,3085.1082408554885
2025-10-13,55-56,57.7,59.5,0.07,0.1273997277968149,0.0573997277968149,47.60332614215476,False,-47.60332614215476,3037.5049147133336
2025-10-14,≤59,60.6,61.4,0.126,0.3513893093060231,0.225389309306023,151.87524573566668,False,-151.87524573566668,2885.629668977667
2025-10-20,69-70,68.5,69.5,0.055,0.1265505100062092,0.0715505100062092,54.62123664137586,True,938.4921568381852,3824.121825815853
2025-10-29,52-53,54.5,56.9,0.055,0.1331257126139194,0.0781257126139194,79.03763036092761,False,-79.03763036092761,3745.0841954549246
2025-11-01,60-61,59.5,58.3,0.0595,0.1265505100062089,0.0670505100062089,66.74901789512109,False,-66.74901789512109,3678.335177559804
