date,peak_temp,avg_dewpoint,avg_humidity,avg_wind,max_gust,avg_visibility
2018-06-30,95.0,59.53846153846154,44.33153846153846,5.230769230769231,16.0,9.163461538461538
2018-07-01,96.0,67.16666666666667,49.855,5.333333333333333,,10.0
2018-07-02,94.0,69.125,59.45583333333334,7.708333333333333,21.0,9.666666666666666
2018-07-03,91.0,73.42758620689655,72.54068965517241,6.551724137931035,,9.241379310344827
2018-07-04,89.0,71.12,70.02199999999999,6.68,,8.96
2018-07-05,90.0,71.22307692307692,67.62076923076924,9.192307692307692,24.0,10.0
2018-07-06,83.0,67.87096774193549,68.75064516129032,10.709677419354838,19.0,9.903225806451612
2018-07-07,77.0,46.833333333333336,44.156666666666666,10.25,22.0,10.0
2018-07-08,82.0,51.375,46.25125,5.333333333333333,16.0,10.0
2018-07-09,89.0,55.56,45.1528,7.28,24.0,10.0
2018-07-10,95.0,58.5,44.52708333333334,6.083333333333333,16.0,10.0
2018-07-11,86.0,63.25,56.416666666666664,8.791666666666666,15.0,10.0
2018-07-12,85.0,56.81481481481482,54.154074074074074,7.185185185185185,,9.148148148148149
2018-07-13,84.0,58.166666666666664,51.772083333333335,6.875,20.0,10.0
2018-07-14,90.0,58.833333333333336,45.09166666666667,8.625,21.0,10.0
2018-07-15,86.0,67.58823529411765,75.41147058823529,6.029411764705882,28.0,8.470588235294118
2018-07-16,92.0,69.84,62.41440000000001,7.28,21.0,10.0
2018-07-17,88.0,70.36875,76.5740625,8.375,23.0,8.90625
2018-07-18,85.0,56.791666666666664,50.36958333333333,9.458333333333334,23.0,10.0
2018-07-19,83.0,52.291666666666664,45.899166666666666,7.875,,10.0
2018-07-20,82.0,59.083333333333336,57.502916666666664,7.458333333333333,19.0,10.0
2018-07-21,77.0,59.48148148148148,66.05740740740741,12.592592592592593,,8.851851851851851
2018-07-22,82.0,70.7741935483871,81.09516129032258,14.903225806451612,33.0,8.580645161290322
2018-07-23,86.0,72.16216216216216,78.04432432432432,13.0,32.0,9.972972972972974
2018-07-24,86.0,72.00645161290322,74.3483870967742,14.64516129032258,30.0,10.0
2018-07-25,80.0,71.93333333333334,83.44527777777779,11.63888888888889,25.0,9.222222222222221
2018-07-26,88.0,69.09333333333333,71.93299999999999,6.6,14.0,9.9
2018-07-27,89.0,68.64324324324325,67.39189189189189,7.648648648648648,19.0,10.0
2018-07-28,89.0,67.20833333333333,66.72041666666667,5.416666666666667,,10.0
2018-07-29,84.0,60.458333333333336,54.815416666666664,7.083333333333333,,10.0
2018-07-30,81.0,62.208333333333336,61.64124999999999,5.958333333333333,,10.0
